E11f,E22f,nu12f,G12f,G23f,EM,num,Vf,E11,E22,NU12,G12,G23
237.9862574,15.04839952,0.22646454,9.465876861,9.229627437,3.478994124,0.324067691,0.6012,144.4647608,8.613828299,0.265388677,3.954209363,3.921695487
173.0025172,9.765591328,0.312310897,35.472098,6.689906259,15.416587,0.460782603,0.502,94.52472396,10.93379042,0.386249807,13.29577859,6.205529966
326.0133885,13.5117599,0.358790941,35.94317989,9.408908774,13.87964625,0.404414959,0.3035,108.612237,13.67453305,0.39056807,9.41530299,6.691888462
583.4914955,11.08805982,0.211022992,6.640140102,7.003874633,11.8354776,0.372806281,0.3035,185.333079,11.41170041,0.323705053,5.34338297,5.469303517
554.4583087,26.79275645,0.217545519,8.325154969,18.23186888,13.32072502,0.48785466,0.4027,231.23683,19.56298026,0.379001169,6.334939365,8.588411753
456.4253579,29.41068023,0.215692948,26.5707633,17.48956638,1.6353641,0.331007439,0.502,229.939941,4.942510039,0.273119565,1.995483363,1.941833096
545.906272,22.4544781,0.243872595,17.64095005,15.78991807,6.706465646,0.382844643,0.4027,223.8422277,12.08491758,0.326880599,5.35716845,5.238817576
281.6604563,12.92799336,0.365637571,31.11331306,7.410671245,8.921119016,0.435196494,0.6012,172.8920086,11.74320919,0.393377669,10.28850311,5.65278456
238.5956267,11.03810718,0.378486978,39.73764125,7.924271236,15.8176084,0.419772803,0.7004,171.8513324,11.61029905,0.390856211,19.86485061,7.413355969
375.5891352,23.00885809,0.334444091,5.656748847,12.25233839,15.99549065,0.337900661,0.6012,232.1831898,20.94588398,0.335822571,5.725833009,9.914681831
489.7420156,22.17106365,0.248127292,19.33556931,16.2406061,0.799783636,0.402037275,0.6012,294.7518535,3.166214594,0.309506593,1.20822596,1.197172187
275.517309,18.583965,0.267052577,29.57769768,12.54810541,11.55677376,0.467792615,0.6012,170.2498475,16.35066693,0.347107704,12.00859166,8.413905852
390.4106192,10.74782473,0.225090186,3.884851131,7.598191922,12.19730484,0.318195534,0.6012,239.5791494,11.04259633,0.262220599,4.029969137,6.640136761
252.6572406,15.70886201,0.20618941,3.845590657,10.810827,9.147248263,0.477507133,0.502,131.3892644,12.99232072,0.341305636,3.591893614,6.261718204
589.0234755,17.2787127,0.305497558,25.99755573,12.18112161,10.44342803,0.402459622,0.6012,358.2857526,15.0639889,0.344166029,11.09186646,8.065499633
437.6844562,29.1461856,0.239130904,31.00438632,20.13115585,14.50362609,0.321332787,0.4027,184.9185464,21.29146739,0.288230089,11.48783264,10.19330672
574.5741154,20.57299958,0.362409162,33.28833061,13.47314767,0.925352222,0.429547598,0.5895,339.0912981,3.469047607,0.38996949,1.350373835,1.291226478
398.7461543,23.34385738,0.337006924,23.97738894,12.92296525,8.367003561,0.326219301,0.4027,165.5726876,14.11283873,0.330563477,7.027089639,6.062600578
182.2270828,18.488255,0.277598475,16.31767099,10.21315058,18.08110653,0.404116358,0.3969,83.23064451,18.33549063,0.35390141,10.40861104,8.392710074
264.670473,28.8590985,0.368517149,35.14332947,16.99258649,4.247918624,0.338718665,0.3035,83.28616388,8.012179145,0.347762505,3.347439552,3.169770446
316.0348869,17.36171242,0.270003397,24.79007306,12.5535829,11.22717381,0.412268984,0.4027,133.9732399,14.47216639,0.354978632,8.508514708,7.018472601
290.2169322,23.76689108,0.30319217,29.26314118,14.52088967,16.0842527,0.371306775,0.3035,99.28352093,19.56914357,0.350633992,10.48184182,8.732397606
461.2571296,19.23668066,0.24214573,13.19337299,11.93048125,18.20718678,0.38842603,0.4961,238.0042634,18.92038153,0.315856373,10.15456052,9.603466028
309.978202,23.960066,0.333171306,7.9236162,16.21362319,11.29489767,0.421370555,0.3035,101.9452805,15.93540419,0.394602083,5.477758668,6.802390517
